"Age Group","N","40-49","50-59","60-69","70-79","80+","Total","Significance"
"N with ECG","","670","328","204","90","22","1314",""
"Percent Male","","0.52","0.51","0.55","0.49","0.36","0.52",""
"Anthropometric Measures","","","","","","","",""
"Height cm","1307","157.0 (7.2)","155.8 (7.7)","155.1 (7.4)","151.6 (7.9)","149.9 (6.2)","155.9 (7.5)","<0.001"
"Weight kg","1307","60.4 (9.6)","58.4 (10.3)","56.3 (9.4)","53.2 (8.7)","47.8 (7.9)","58.5 (10.0)","<0.001"
"BMI","1306","24.4 (3.1)","24.0 (3.6)","23.3 (3.1)","23.1 (3.4)","21.2 (2.2)","24.0 (3.3)","<0.001"
"% BMI > 30","1306","5.0 (0.8)","5.2 (1.2)","3.4 (1.3)","4.4 (2.2)","0.0 (0.0)","4.7 (0.6)","0.138"
"Waist Circ.","1049","34.9 (3.3)","35.0 (4.1)","35.2 (3.7)","35.6 (4.0)","33.5 (2.4)","35.0 (3.6)","0.733"
"% Waist Circ. High","1049","24.6 (1.8)","26.0 (2.7)","31.1 (3.7)","25.0 (5.3)","5.9 (5.9)","25.6 (1.3)","0.766"
"Lipid Profile","","","","","","","",""
"Total Cholesterol mg/dL","1112","142.9 (27.6)","146.8 (30.6)","140.9 (26.9)","137.8 (27.6)","139.6 (26.5)","143.3 (28.4)","0.381"
"% Cholesterol > 240 mg/dL","1112","0.4 (0.2)","0.7 (0.5)","0.0 (0.0)","0.0 (0.0)","0.0 (0.0)","0.4 (0.2)","0.891"
"LDL mg/dL","1032","86.6 (25.7)","89.7 (27.9)","85.0 (25.6)","80.3 (25.3)","82.5 (21.7)","86.7 (26.2)","0.426"
"% LDL > 130 mg/dL","1032","5.3 (1.0)","6.8 (1.5)","4.5 (1.7)","6.0 (2.9)","0.0 (0.0)","5.5 (0.7)","0.703"
"HDL mg/dL","1035","37.2 (7.5)","38.0 (6.7)","37.1 (6.4)","38.0 (7.6)","37.1 (9.6)","37.5 (7.2)","0.611"
"Triglycerides mg/dL","1117","109.0 (46.9)","113.9 (52.7)","106.1 (45.9)","105.9 (41.0)","105.6 (22.6)","109.6 (47.8)","0.393"
"% Triglycerides > 200 mg/dL","1117","4.2 (0.8)","4.8 (1.2)","4.3 (1.6)","1.4 (1.4)","0.0 (0.0)","4.1 (0.6)","0.459"
"Inflammatory Markers","","","","","","","",""
"HS-CRP mg/dL","758","2.4 (1.8)","2.6 (2.3)","3.1 (2.3)","2.3 (1.6)","4.4 (2.7)","2.6 (2.0)","0.001"
"% HS-CRP > 3 mg/dL","758","37.0 (2.5)","42.9 (3.4)","53.8 (4.6)","45.5 (7.6)","66.7 (14.2)","42.2 (1.8)","0.002"
"ESR mm/h","1304","27.1 (15.1)","30.3 (15.1)","38.8 (20.9)","43.6 (22.3)","58.4 (19.0)","31.3 (17.9)","<0.001"
"% Elevated ESR","1304","45.6 (1.9)","59.3 (2.7)","72.3 (3.2)","76.4 (4.5)","95.5 (4.5)","56.1 (1.4)","<0.001"
"IL6 (pm/mL)","740","1.6 (0.7)","1.6 (0.5)","1.6 (0.9)","1.6 (1.6)","1.5 (1.3)","1.6 (0.8)","<0.001"
"Blood Pressure and Hypertension","","","","","","","",""
"Heart Rate (BPM)","1314","51.1 (26.0)","48.1 (27.6)","49.2 (28.4)","55.9 (29.5)","57.6 (26.4)","50.5 (27.1)","0.498"
"Systolic Blood Pressure mmHg","1305","111.1 (8.0)","114.4 (10.2)","118.0 (12.7)","121.9 (16.4)","121.5 (24.0)","113.9 (11.1)","<0.001"
"% SBP > 120 mmHg","1305","11.3 (1.2)","19.9 (2.2)","34.2 (3.3)","45.6 (5.3)","38.1 (10.9)","19.8 (1.1)","<0.001"
"Diastolic Blood Pressure mmHg","1305","69.7 (5.8)","70.8 (6.1)","71.6 (7.9)","70.8 (7.8)","68.2 (9.8)","70.3 (6.5)","0.020"
"% DBP > 80 mmHg","1305","3.3 (0.7)","6.7 (1.4)","11.4 (2.2)","7.8 (2.8)","4.8 (4.8)","5.7 (0.6)","0.001"
"% with Hypertension","1305","3.8 (0.7)","8.9 (1.6)","20.3 (2.8)","26.7 (4.7)","9.5 (6.6)","9.3 (0.8)","<0.001"
"ECG Measures","","","","","","","",""
"PR","1312","161.5 (18.9)","161.6 (18.9)","161.9 (17.9)","162.2 (20.2)","159.7 (20.8)","161.6 (18.8)","0.823"
"% PR > 200","1312","1.8 (0.5)","2.4 (0.9)","2.5 (1.1)","3.4 (1.9)","4.5 (4.5)","2.2 (0.4)","0.134"
"QRS","1313","103.0 (12.3)","102.5 (12.2)","104.2 (16.7)","103.8 (18.0)","98.5 (13.7)","103.0 (13.5)","0.784"
"% QRS > 120","1313","7.6 (1.0)","5.8 (1.3)","10.3 (2.1)","10.0 (3.2)","4.5 (4.5)","7.7 (0.7)","0.561"
"Coronary Calcium scores from CT scan","","","","","","","",""
"% CAC > 100 AU","823","0.5 (0.4)","3.5 (1.2)","8.5 (2.3)","4.4 (3.1)","30.8 (13.3)","3.5 (0.6)","<0.001"
